hvrecid,permitno,nocatch,nohrvrpt,harvdate,location,pots,soaktime,shrimp,keyid,keydate,year,comments,mailing,stat_area
117350,894,0,0,7/27/2019,"Unakwick, Miner's Bay",3,24,8,ADFG WEB,9/17/2019,2019,,4,
117351,938,0,0,7/27/2019,Granite Bay,3,18,0.1,ADFG WEB,9/27/2019,2019,,4,
117352,97,0,0,7/27/2019,Valdez port Anderson Bay,3,14,1.5,ADFG WEB,9/6/2019,2019,,4,
117353,998,0,0,7/27/2019,jack,3,24,1,ADFG WEB,9/29/2019,2019,,4,
117354,1042,0,0,7/28/2019,cochran,3,24,8,ADFG WEB,9/29/2019,2019,,4,
117355,1051,0,0,7/28/2019,west twin perry island,3,90,1.5,ADFG WEB,9/3/2019,2019,,4,
117356,1096,0,0,7/28/2019,derickson bay,3,12,3,ADFG WEB,9/30/2019,2019,,4,
117357,1120,0,0,7/28/2019,"North Side of Port Valdez, W of Perkins Point",3,6,0.1,ADFG WEB,9/25/2019,2019,,4,
117358,1253,0,0,7/28/2019,Dangerous Passage,3,72,7,ADFG WEB,10/14/2019,2019,,4,
117359,1447,0,0,7/28/2019,Harrison Lagoon,3,16,1.5,ADFG WEB,9/21/2019,2019,,4,
117360,1750,0,0,7/28/2019,Port Wells,3,12,3,ADFG WEB,10/13/2019,2019,,4,
117361,1799,1,0,7/28/2019,Bay,3,48,0,ADFG WEB,9/22/2019,2019,,4,
117362,1833,0,0,7/28/2019,Whale Bay,3,20,1.5,ADFG WEB,9/20/2019,2019,,4,
117363,1854,0,0,7/28/2019,Jack bay,3,24,1,ADFG WEB,9/3/2019,2019,,4,
117364,2059,0,0,7/28/2019,Wells Bay,3,25,3,ADFG WEB,8/1/2019,2019,,4,
117365,2728,1,0,7/28/2019,Golina Bay,1,12,0,ADFG WEB,10/15/2019,2019,,4,
117366,2761,0,0,7/28/2019,Cedar Bay,3,15,2,ADFG WEB,9/27/2019,2019,,4,
117367,2850,0,0,7/28/2019,logging camp bay,3,72,0.04,ADFG WEB,10/15/2019,2019,,4,
117368,2854,0,0,7/28/2019,Passage Canal,3,192,2,ADFG WEB,10/13/2019,2019,,4,
117369,3063,0,0,7/28/2019,MCCLURE BAY,3,15,3.5,ADFG WEB,10/15/2019,2019,,4,
117370,3081,0,0,7/28/2019,Pigot Bay,3,48,3,ADFG WEB,9/27/2019,2019,,4,
117371,3134,0,0,7/28/2019,Bald Chris Island,3,30,2,ADFG WEB,9/29/2019,2019,,4,
117372,3367,0,0,7/28/2019,long bay,3,72,1.5,ADFG WEB,8/16/2019,2019,,4,
117373,3442,0,0,7/28/2019,Eaglek Bay,4,9,3,ADFG WEB,10/12/2019,2019,,4,
117374,3544,1,0,7/28/2019,Wells Bay,3,12,0,ADFG WEB,8/22/2019,2019,,4,
117375,36,0,0,7/28/2019,Cullross Island,3,12,2,ADFG WEB,10/10/2019,2019,,4,
117376,379,0,0,7/28/2019,passage canal,3,48,4,ADFG WEB,9/16/2019,2019,,4,
117377,3796,0,0,7/28/2019,Resurrection Bay,3,24,0.25,ADFG WEB,9/10/2019,2019,,4,
117378,3871,0,0,7/28/2019,Ester,2,12,2,ADFG WEB,10/7/2019,2019,,4,
117379,3871,0,0,7/28/2019,Ester island,2,12,1,ADFG WEB,10/7/2019,2019,,4,
117380,416,0,0,7/28/2019,Blackstone Bay,3,6,2,ADFG WEB,9/14/2019,2019,,4,
117381,489,0,0,7/28/2019,Jackpot Bay,3,24,3,ADFG WEB,10/14/2019,2019,,4,
117382,840,0,0,7/28/2019,Eaglak,3,32,6,ADFG WEB,9/6/2019,2019,,4,
117383,840,0,0,7/28/2019,Eaglek,3,64,10,ADFG WEB,9/6/2019,2019,,4,
117384,938,0,0,7/28/2019,Cochrin Bay,3,29,0.2,ADFG WEB,9/27/2019,2019,,4,
117385,941,0,0,7/28/2019,PORT VALDEZ,2,16,1,ADFG WEB,9/27/2019,2019,,4,
117386,1397,0,0,7/29/2019,Blackstone,3,7,2,ADFG WEB,9/15/2019,2019,,4,
117387,2036,0,0,7/29/2019,Culross Passage,3,6,2,ADFG WEB,9/7/2019,2019,,4,
117388,205,0,0,7/29/2019,Herring Bay,3,12,3,ADFG WEB,9/20/2019,2019,,4,
117389,2059,0,0,7/29/2019,Wells Bay,3,12,2,ADFG WEB,8/1/2019,2019,,4,
117390,2179,0,0,7/29/2019,Wells,3,4,1.5,ADFG WEB,9/13/2019,2019,,4,
117391,2527,0,0,7/29/2019,Galena Bay,3,48,2,ADFG WEB,9/27/2019,2019,,4,
117392,2854,0,0,7/29/2019,Culross Bay,3,11,0.5,ADFG WEB,10/13/2019,2019,,4,
117393,2854,0,0,7/29/2019,Culross Island,3,8,6,ADFG WEB,10/13/2019,2019,,4,
117394,2974,0,0,7/29/2019,in front of saw mill bay,3,24,0.5,ADFG WEB,9/7/2019,2019,,4,
117395,3024,0,0,7/29/2019,Jack Bay,3,25,2,ADFG WEB,10/7/2019,2019,,4,
117396,3063,0,0,7/29/2019,DEEP WATER BAY,3,21,2,ADFG WEB,10/15/2019,2019,,4,
117397,3202,0,0,7/29/2019,Glacier Island,2,5,1,ADFG WEB,9/27/2019,2019,,4,
117398,3220,0,0,7/29/2019,West Twin Bay,3,19,3,ADFG WEB,9/2/2019,2019,,4,
117399,3394,0,0,7/29/2019,sawmill bay valdez,3,48,0.25,ADFG WEB,10/4/2019,2019,,4,
117400,354,0,0,7/29/2019,cochran bay,3,122,3,ADFG WEB,9/29/2019,2019,,4,
117401,3544,1,0,7/29/2019,Wells Bay,3,12,0,ADFG WEB,8/22/2019,2019,,4,
117402,3708,0,0,7/29/2019,Glacier Is./Growler bay,3,12,3,ADFG WEB,10/15/2019,2019,,4,
117403,3871,0,0,7/29/2019,Ester island,2,12,2,ADFG WEB,10/7/2019,2019,,4,
117404,3901,0,0,7/29/2019,bay/arm of Veldez,3,10,0.05,ADFG WEB,8/4/2019,2019,,4,
117405,416,0,0,7/29/2019,Mink Island,3,16,3,ADFG WEB,9/14/2019,2019,,4,
117406,512,0,0,7/29/2019,Picket bay,3,36,4,ADFG WEB,9/17/2019,2019,,4,
117407,544,0,0,7/29/2019,Pigot,3,120,4,ADFG WEB,9/16/2019,2019,,4,
117408,581,0,0,7/29/2019,Pt. Pigot,2,550,31.25,ADFG WEB,9/11/2019,2019,,4,
117409,840,0,0,7/29/2019,Eaglek,3,64,12,ADFG WEB,9/6/2019,2019,,4,
117410,939,0,0,7/29/2019,Squaw Bay,1,12,4,ADFG WEB,8/26/2019,2019,,4,
117411,1026,0,0,7/30/2019,passage canal,3,113,8,ADFG WEB,9/19/2019,2019,,4,
117412,1049,0,0,7/30/2019,heather bay,3,72,1,ADFG WEB,9/10/2019,2019,,4,
117413,1253,0,0,7/30/2019,Black Stone,3,48,3,ADFG WEB,10/14/2019,2019,,4,
117414,127,0,0,7/30/2019,Kings bay,3,4,2,ADFG WEB,8/4/2019,2019,,4,
117415,1436,1,0,7/30/2019,Nelli Juan,3,6,0,ADFG WEB,9/16/2019,2019,,4,
117416,1830,0,0,7/30/2019,Perry Passage,3,6,2,ADFG WEB,9/4/2019,2019,,4,
117417,197,0,0,7/30/2019,Unakwik Inlet,3,24,3.5,ADFG WEB,9/9/2019,2019,,4,
117418,205,0,0,7/30/2019,Herring Bay,3,12,3,ADFG WEB,9/20/2019,2019,,4,
117419,2059,0,0,7/30/2019,Jackpot Bay,3,12,1,ADFG WEB,8/1/2019,2019,,4,
117420,2172,0,0,7/30/2019,Head of Passage Canal,3,30,0.75,ADFG WEB,9/16/2019,2019,,4,
117421,2179,0,0,7/30/2019,Wells,3,24,3.5,ADFG WEB,9/13/2019,2019,,4,
117422,238,0,0,7/30/2019,Main Bay,3,24,0.25,ADFG WEB,9/27/2019,2019,,4,
117423,2438,0,0,7/30/2019,Valdez Arm NE of Sawmill Bay,3,20,0.05,ADFG WEB,9/13/2019,2019,,4,
117424,2854,0,0,7/30/2019,Culross Island,3,15,3,ADFG WEB,10/13/2019,2019,,4,
117425,3024,1,0,7/30/2019,Jack Bay - all my shrimp gear was stolen,1,24,0,ADFG WEB,10/7/2019,2019,,4,
117426,3040,0,0,7/30/2019,Culross passage,3,10,1,ADFG WEB,10/6/2019,2019,,4,
117427,3063,0,0,7/30/2019,DEEP WATER BAY,3,11,1,ADFG WEB,10/15/2019,2019,,4,
117428,3063,0,0,7/30/2019,MCCLURE BAY,3,12,1.5,ADFG WEB,10/15/2019,2019,,4,
117429,3202,0,0,7/30/2019,Glacier Isaland,2,6,3,ADFG WEB,9/27/2019,2019,,4,
117430,3220,0,0,7/30/2019,West Twin Bay,3,12,2,ADFG WEB,9/2/2019,2019,,4,
117431,3280,0,0,7/30/2019,Pigot Bay,3,24,1.5,ADFG WEB,8/8/2019,2019,,4,
117432,345,0,0,7/30/2019,North side of Mew Cove,3,8,2.5,ADFG WEB,10/14/2019,2019,,4,
117433,3729,0,0,7/30/2019,Chenega East,3,24,1,ADFG WEB,9/23/2019,2019,,4,
117434,398,1,0,7/30/2019,Emerald Cove,1,16,0,ADFG WEB,8/19/2019,2019,,4,
117435,416,0,0,7/30/2019,Mink Island,3,8,2,ADFG WEB,9/14/2019,2019,,4,
117436,475,0,0,7/30/2019,Passage cannel,3,24,1,ADFG WEB,9/29/2019,2019,,4,
117437,549,1,0,7/30/2019,Bettles bay area,3,7,0,ADFG WEB,9/17/2019,2019,,4,
117438,581,0,0,7/30/2019,Pt. Pigot,2,450,25,ADFG WEB,9/11/2019,2019,,4,
117439,806,0,0,7/30/2019,kings bay,3,8,1.1,ADFG WEB,8/30/2019,2019,,4,
117440,924,0,0,7/30/2019,Pigot,3,24,5.5,ADFG WEB,9/10/2019,2019,,4,
117441,938,0,0,7/30/2019,Culross Island,3,24,0.5,ADFG WEB,9/27/2019,2019,,4,
117442,939,0,0,7/30/2019,Blackstone Bay,2,36,5,ADFG WEB,8/26/2019,2019,,4,
117443,1026,0,0,7/31/2019,passage canal,2,24,3,ADFG WEB,9/19/2019,2019,,4,
117444,127,0,0,7/31/2019,Blackstone bay,3,16,8,ADFG WEB,8/4/2019,2019,,4,
117445,1830,0,0,7/31/2019,Perry Passage,3,12,1,ADFG WEB,9/4/2019,2019,,4,
117446,197,0,0,7/31/2019,Unakwik Inlet,3,24,2.5,ADFG WEB,9/9/2019,2019,,4,
117447,2179,0,0,7/31/2019,Wells,3,13,2.5,ADFG WEB,9/13/2019,2019,,4,
117448,28,0,0,7/31/2019,Black Stone Bay,3,12,3,ADFG WEB,9/17/2019,2019,,4,
117449,3163,0,0,7/31/2019,culrose passage,3,72,3,ADFG WEB,10/6/2019,2019,,4,
117450,3202,0,0,7/31/2019,Glacier Island,2,5,2,ADFG WEB,9/27/2019,2019,,4,
117451,3524,0,0,7/31/2019,jack bay,1,24,0.1,ADFG WEB,9/21/2019,2019,,4,
117452,3729,0,0,7/31/2019,Chenega East,3,24,2,ADFG WEB,9/23/2019,2019,,4,
117453,3935,0,0,7/31/2019,culross passage,3,6,1,ADFG WEB,10/14/2019,2019,,4,
117454,398,0,0,7/31/2019,Long Bay,1,16,0.1,ADFG WEB,8/19/2019,2019,,4,
117455,549,0,0,7/31/2019,Bettles bay area,3,16,3,ADFG WEB,9/17/2019,2019,,4,
117456,581,0,0,7/31/2019,Pt. Pigot,2,800,18.75,ADFG WEB,9/11/2019,2019,,4,
117457,806,0,0,7/31/2019,blackstone,3,19,4.25,ADFG WEB,8/30/2019,2019,,4,
117458,806,0,0,7/31/2019,cochran,3,3,0.5,ADFG WEB,8/30/2019,2019,,4,
117459,894,0,0,7/31/2019,"Unakwick, Miner's Bay",3,96,6,ADFG WEB,9/17/2019,2019,,4,
117460,924,0,0,7/31/2019,Pigot,3,20,2.5,ADFG WEB,9/10/2019,2019,,4,
117461,985,0,0,7/31/2019,Culross Passage,3,6,3,ADFG WEB,9/15/2019,2019,,4,
117462,109,0,0,8/1/2019,poe bay,3,8,2,ADFG WEB,9/30/2019,2019,,4,
117463,127,0,0,8/1/2019,Chochrane bay,3,2,4,ADFG WEB,8/4/2019,2019,,4,
117464,127,0,0,8/1/2019,Cochran bay,3,14,4,ADFG WEB,8/4/2019,2019,,4,
117465,1271,0,0,8/1/2019,Port Wells,3,16,9,ADFG WEB,9/15/2019,2019,,4,
117466,1534,0,0,8/1/2019,McClure Bay - Mouth,3,9,2.5,ADFG WEB,9/9/2019,2019,,4,
117467,1534,0,0,8/1/2019,Outside MInk Island - Port Nelly Juan,3,17,1,ADFG WEB,9/9/2019,2019,,4,
117468,2179,0,0,8/1/2019,Wells,3,24,1.5,ADFG WEB,9/13/2019,2019,,4,
117469,2305,0,0,8/1/2019,Galena Bay,3,6,2,ADFG WEB,10/4/2019,2019,,4,
117470,2909,0,0,8/1/2019,East Perry Island,3,16,1,ADFG WEB,10/5/2019,2019,,4,
117471,2974,0,0,8/1/2019,in front of saw mill bay,3,24,0.5,ADFG WEB,9/7/2019,2019,,4,
117472,3202,0,0,8/1/2019,Glacier Island,2,5,2,ADFG WEB,9/27/2019,2019,,4,
117473,3237,0,0,8/1/2019,Nellie Juan Bay,3,24,2,ADFG WEB,10/10/2019,2019,,4,
117474,3394,1,0,8/1/2019,sawmill bay valdez,3,48,0,ADFG WEB,10/4/2019,2019,,4,
117475,3439,0,0,8/1/2019,Blackstone Bay,6,3,3,ADFG WEB,9/23/2019,2019,,4,
117476,3729,0,0,8/1/2019,Chenega East,3,24,1.5,ADFG WEB,9/23/2019,2019,,4,
117477,3968,0,0,8/1/2019,Mc Clure Bay,3,10,0.5,ADFG WEB,8/12/2019,2019,,4,
117478,3974,0,0,8/1/2019,Cochrane Bay,1,4,0.5,ADFG WEB,9/29/2019,2019,,4,
117479,398,0,0,8/1/2019,Unakwik Inlet,1,16,0.75,ADFG WEB,8/19/2019,2019,,4,
117480,411,0,0,8/1/2019,port nellie yuan,3,12,3,ADFG WEB,9/9/2019,2019,,4,
117481,806,0,0,8/1/2019,cochran,3,14,4,ADFG WEB,8/30/2019,2019,,4,
117482,953,0,0,8/1/2019,Pigot Bay,3,24,0.03,ADFG WEB,9/30/2019,2019,,4,
117483,1042,0,0,8/2/2019,passage canal,3,120,6,ADFG WEB,9/29/2019,2019,,4,
117484,1172,0,0,8/2/2019,jack bay,3,4,1,ADFG WEB,9/23/2019,2019,,4,
117485,1193,0,0,8/2/2019,South Culross,3,20,1,ADFG WEB,9/30/2019,2019,,4,
117486,1372,0,0,8/2/2019,Culross Passage,3,24,1,ADFG WEB,9/13/2019,2019,,4,
117487,145,1,0,8/2/2019,Goose Island,3,5,0,ADFG WEB,10/15/2019,2019,,4,
117488,1500,0,0,8/2/2019,OUTSIDE HUMMER BAY,3,17,3.5,ADFG WEB,9/23/2019,2019,,4,
117489,1525,0,0,8/2/2019,Golden,3,12,4,ADFG WEB,9/26/2019,2019,,4,
117490,1534,0,0,8/2/2019,McClure Bay - Mouth,3,24,1,ADFG WEB,9/9/2019,2019,,4,
117491,1646,0,0,8/2/2019,Copper Bay,3,20,2,ADFG WEB,9/11/2019,2019,,4,
117492,1800,0,0,8/2/2019,Hummer Bay,2,3,1,ADFG WEB,9/25/2019,2019,,4,
117493,197,0,0,8/2/2019,Unakwik Inlet,3,144,3,ADFG WEB,9/9/2019,2019,,4,
117494,2134,0,0,8/2/2019,Valdez Jacks Bay,3,20,1,ADFG WEB,9/24/2019,2019,,4,
117495,2179,0,0,8/2/2019,Wells,3,14,2,ADFG WEB,9/13/2019,2019,,4,
117496,2305,1,0,8/2/2019,Galena Bay,3,18,0,ADFG WEB,10/4/2019,2019,,4,
117497,2385,0,0,8/2/2019,Wells Bay,3,4,1.5,ADFG WEB,9/4/2019,2019,,4,
117498,2419,0,0,8/2/2019,Blackstone Bay,3,6,6,ADFG WEB,9/23/2019,2019,,4,
117499,2563,0,0,8/2/2019,Shotgun Cove,3,6,1.5,ADFG WEB,10/11/2019,2019,,4,
117500,2909,0,0,8/2/2019,East Perry Island,3,22,2,ADFG WEB,10/5/2019,2019,,4,
117501,294,0,0,8/2/2019,esther island,3,12,2,ADFG WEB,10/1/2019,2019,,4,
117502,3003,0,0,8/2/2019,Paulson Bay,3,14,1,ADFG WEB,9/20/2019,2019,,4,
117503,3237,0,0,8/2/2019,McClure Bay,3,12,1,ADFG WEB,10/10/2019,2019,,4,
117504,3585,0,0,8/2/2019,Black stone bay,3,8,2,ADFG WEB,9/30/2019,2019,,4,
117505,3601,1,0,8/2/2019,Cockrane Bay,3,24,0,ADFG WEB,8/30/2019,2019,,4,
117506,3729,0,0,8/2/2019,Chenega East,3,24,1.5,ADFG WEB,9/23/2019,2019,,4,
117507,3823,0,0,8/2/2019,Whale Bay,3,12,1,ADFG WEB,9/24/2019,2019,,4,
117508,398,0,0,8/2/2019,Eaglek Bay,1,16,0.1,ADFG WEB,8/19/2019,2019,,4,
117509,533,0,0,8/2/2019,Culroos Passage,2,12,2,ADFG WEB,10/13/2019,2019,,4,
117510,544,0,0,8/2/2019,Pigot,3,72,2,ADFG WEB,9/16/2019,2019,,4,
117511,940,0,0,8/2/2019,Unakwik,3,16,3,ADFG WEB,10/15/2019,2019,,4,
117512,1304,0,0,8/3/2019,Wells Passage,3,12,5,ADFG WEB,10/12/2019,2019,,4,
117513,136,0,0,8/3/2019,Culross Passage,3,5,2,ADFG WEB,9/28/2019,2019,,4,
117514,1383,0,0,8/3/2019,Main Bay,2,24,2,ADFG WEB,9/4/2019,2019,,4,
117515,14,0,0,8/3/2019,Blackstone Bay,3,24,0.5,ADFG WEB,10/6/2019,2019,,4,
117516,1500,0,0,8/3/2019,OUTSIDE HUMMER BAY,3,17,2.5,ADFG WEB,9/23/2019,2019,,4,
117517,1503,0,0,8/3/2019,Golden,3,25,4.5,ADFG WEB,10/13/2019,2019,,4,
117518,1525,0,0,8/3/2019,Golden,3,8,6,ADFG WEB,9/26/2019,2019,,4,
117519,1755,0,0,8/3/2019,"Point Pakenam, College Fjord",3,5,2,ADFG WEB,9/15/2019,2019,,4,
117520,1780,0,0,8/3/2019,Cochrane Bay,3,14,0.5,ADFG WEB,9/29/2019,2019,,4,
117521,1800,0,0,8/3/2019,Hummer Bay,2,14,3,ADFG WEB,9/25/2019,2019,,4,
117522,1842,0,0,8/3/2019,Hobo Bay,3,7,3,ADFG WEB,10/14/2019,2019,,4,
117523,1885,0,0,8/3/2019,Pigot Point,3,17,0.5,ADFG WEB,9/22/2019,2019,,4,
117524,1897,0,0,8/3/2019,Blackstone Point,3,9,2,ADFG WEB,8/16/2019,2019,,4,
117525,1993,0,0,8/3/2019,Blackstone bay,3,8,1.5,ADFG WEB,9/18/2019,2019,,4,
117526,2027,0,0,8/3/2019,passage canal,3,8,3,ADFG WEB,9/14/2019,2019,,4,
117527,2068,0,0,8/3/2019,passage canal,3,140,5,ADFG WEB,10/10/2019,2019,,4,
117528,2134,0,0,8/3/2019,Valdez Jacks Bay,3,24,1,ADFG WEB,9/24/2019,2019,,4,
117529,2232,0,0,8/3/2019,Valdez Harbor,2,12,0.5,ADFG WEB,8/29/2019,2019,,4,
117530,2328,0,0,8/3/2019,Perry Island East Side,3,20,2,ADFG WEB,9/17/2019,2019,,4,
117531,2385,0,0,8/3/2019,Wells Bay,3,15,2.5,ADFG WEB,9/4/2019,2019,,4,
117532,251,0,0,8/3/2019,Harrison Lagoon,3,6,4,ADFG WEB,9/2/2019,2019,,4,
117533,2572,0,0,8/3/2019,Culross Passage,3,24,1,ADFG WEB,9/10/2019,2019,,4,
117534,2606,0,0,8/3/2019,Pigot Pt,3,24,1.5,ADFG WEB,10/15/2019,2019,,4,
117535,2629,0,0,8/3/2019,Port Wells,3,12,1,ADFG WEB,8/6/2019,2019,,4,
117536,2698,0,0,8/3/2019,Little Axel Island,2,4,0.25,ADFG WEB,9/29/2019,2019,,4,
117537,2698,0,0,8/3/2019,Olsen Island,2,6,0.5,ADFG WEB,9/29/2019,2019,,4,
117538,272,0,0,8/3/2019,Squaw Bay,4,12,2,ADFG WEB,9/13/2019,2019,,4,
117539,2867,0,0,8/3/2019,Passage canal,3,48,1,ADFG WEB,10/8/2019,2019,,4,
117540,294,0,0,8/3/2019,esther island,3,24,2,ADFG WEB,10/1/2019,2019,,4,
117541,297,0,0,8/3/2019,Jack Bay,3,74,2,ADFG WEB,9/30/2019,2019,,4,
117542,3003,0,0,8/3/2019,Paulson Bay,3,16,0.5,ADFG WEB,9/20/2019,2019,,4,
117543,3134,0,0,8/3/2019,Cochrane Bay,3,6,3,ADFG WEB,9/29/2019,2019,,4,
117544,320,0,0,8/3/2019,Blackstone,3,14,2,ADFG WEB,10/2/2019,2019,,4,
117545,3254,0,0,8/3/2019,Blackstone,3,10,0.2,ADFG WEB,10/7/2019,2019,,4,
117546,3254,0,0,8/3/2019,Esther Bay,3,3,0.25,ADFG WEB,10/7/2019,2019,,4,
117547,3254,0,0,8/3/2019,Port Wells,3,4,0.3,ADFG WEB,10/7/2019,2019,,4,
117548,332,0,0,8/3/2019,Cochrane Bay,3,12,4,ADFG WEB,9/29/2019,2019,,4,
117549,3366,0,0,8/3/2019,surprise cove,3,21,3.5,ADFG WEB,9/11/2019,2019,,4,
117550,34,0,0,8/3/2019,Blackstone Bay,3,15,3,ADFG WEB,10/7/2019,2019,,4,
117551,34,1,0,8/3/2019,Perry Island,3,9,0,ADFG WEB,10/7/2019,2019,,4,
117552,341,0,0,8/3/2019,Blackstone Bay,1,8,1,ADFG WEB,9/15/2019,2019,,4,
117553,3504,0,0,8/3/2019,Blackstone Bay,3,4,3,ADFG WEB,10/2/2019,2019,,4,
117554,3608,0,0,8/3/2019,Hobo bay,3,12,3,ADFG WEB,10/2/2019,2019,,4,
117555,3708,0,0,8/3/2019,Glacier Is./Growler Bay,3,12,3,ADFG WEB,10/15/2019,2019,,4,
117556,3729,0,0,8/3/2019,Chenega East,3,24,1,ADFG WEB,9/23/2019,2019,,4,
117557,373,0,0,8/3/2019,Long Bay,3,10,1,ADFG WEB,8/30/2019,2019,,4,
117558,3823,0,0,8/3/2019,Mink Island,3,12,0.5,ADFG WEB,9/24/2019,2019,,4,
117559,3865,1,0,8/3/2019,Cochrane Bay,3,4,0,ADFG WEB,10/2/2019,2019,,4,
117560,3962,0,0,8/3/2019,Pigot Bay,3,6,2,ADFG WEB,9/30/2019,2019,,4,
117561,398,1,0,8/3/2019,Storey Island,1,16,0,ADFG WEB,8/19/2019,2019,,4,
117562,436,0,0,8/3/2019,Granite Bay,3,5,0.25,ADFG WEB,9/23/2019,2019,,4,
117563,463,0,0,8/3/2019,Mummy Bay,3,12,0.5,ADFG WEB,10/1/2019,2019,,4,
117564,55,0,0,8/3/2019,Passage Canal,3,3,3,ADFG WEB,10/7/2019,2019,,4,
117565,587,0,0,8/3/2019,Port Wells,3,48,4,ADFG WEB,9/18/2019,2019,,4,
117566,9,0,0,8/3/2019,Cochran Bay,3,3,0.1,ADFG WEB,9/25/2019,2019,,4,
117567,940,0,0,8/3/2019,Culross Pass,3,14,2,ADFG WEB,10/15/2019,2019,,4,
117568,940,0,0,8/3/2019,Deep Water Bay,3,2,0.5,ADFG WEB,10/15/2019,2019,,4,
117569,97,0,0,8/3/2019,Passage Point,3,10,0.75,ADFG WEB,9/6/2019,2019,,4,
117570,998,0,0,8/3/2019,jack,3,13,0.25,ADFG WEB,9/29/2019,2019,,4,
117571,1042,0,0,8/4/2019,passage canal,2,48,2,ADFG WEB,9/29/2019,2019,,4,
117572,1049,0,0,8/4/2019,heather bay,3,154,1.5,ADFG WEB,9/10/2019,2019,,4,
117573,1095,0,0,8/4/2019,Cochrane bay,3,48,3,ADFG WEB,9/29/2019,2019,,4,
117574,1304,0,0,8/4/2019,Wells Passage,3,4,4,ADFG WEB,10/12/2019,2019,,4,
117575,150,1,0,8/4/2019,Pigot Pt,3,72,0,ADFG WEB,10/9/2019,2019,,4,
117576,1503,0,0,8/4/2019,Golden,3,13,1,ADFG WEB,10/13/2019,2019,,4,
117577,1525,0,0,8/4/2019,Golden,3,16,5.5,ADFG WEB,9/26/2019,2019,,4,
117578,1585,0,0,8/4/2019,Passage canal,3,6,5,ADFG WEB,9/16/2019,2019,,4,
117579,1660,0,0,8/4/2019,Eshamy Bay,3,24,2,ADFG WEB,10/14/2019,2019,,4,
117580,1729,0,0,8/4/2019,Ziegler Cove,3,18,2,ADFG WEB,9/16/2019,2019,,4,
117581,1800,1,0,8/4/2019,Hummer Bay,2,8,0,ADFG WEB,9/25/2019,2019,,4,
117582,1825,0,0,8/4/2019,Passage canal,3,36,2.5,ADFG WEB,10/15/2019,2019,,4,
117583,1842,0,0,8/4/2019,Hobo Bay,3,7,3,ADFG WEB,10/14/2019,2019,,4,
117584,1885,0,0,8/4/2019,Pigot Point,3,6,1,ADFG WEB,9/22/2019,2019,,4,
117585,1951,0,0,8/4/2019,Blackstone Bay,3,26,7,ADFG WEB,9/22/2019,2019,,4,
117586,1993,0,0,8/4/2019,Blackstone Bay,3,8,1.5,ADFG WEB,9/18/2019,2019,,4,
117587,2232,0,0,8/4/2019,Valdez Harbor,2,10,1,ADFG WEB,8/29/2019,2019,,4,
117588,2328,0,0,8/4/2019,Perry Island East Side,3,18,2,ADFG WEB,9/17/2019,2019,,4,
117589,2385,0,0,8/4/2019,Columbia Bay,3,24,2.5,ADFG WEB,9/4/2019,2019,,4,
117590,2503,0,0,8/4/2019,Port Wells outside of Pigot Bay,2,12,0.5,ADFG WEB,10/15/2019,2019,,4,
117591,2572,0,0,8/4/2019,Culross Passage,3,24,1,ADFG WEB,9/10/2019,2019,,4,
117592,2698,0,0,8/4/2019,Culross,2,12,1,ADFG WEB,9/29/2019,2019,,4,
117593,292,0,0,8/4/2019,Cochran Bay,3,7,2,ADFG WEB,9/19/2019,2019,,4,
117594,294,0,0,8/4/2019,esther island,3,12,2,ADFG WEB,10/1/2019,2019,,4,
117595,297,0,0,8/4/2019,Jack Bay,3,24,0.25,ADFG WEB,9/30/2019,2019,,4,
117596,2993,0,0,8/4/2019,Unakwik Point,2,42,2,ADFG WEB,10/15/2019,2019,,4,
117597,3081,0,0,8/4/2019,Pigot Bay,3,168,3,ADFG WEB,9/27/2019,2019,,4,
117598,33,0,0,8/4/2019,McClure Bay,3,12,2.5,ADFG WEB,9/8/2019,2019,,4,
117599,3366,0,0,8/4/2019,surprise cove,3,12,1.5,ADFG WEB,9/11/2019,2019,,4,
117600,354,0,0,8/4/2019,cochran bay,3,124,3,ADFG WEB,9/29/2019,2019,,4,
117601,3729,0,0,8/4/2019,Chenega East,3,24,3,ADFG WEB,9/23/2019,2019,,4,
117602,3824,0,0,8/4/2019,Jacks Bay-PWS,3,24,0.3,ADFG WEB,10/15/2019,2019,,4,
117603,3865,1,0,8/4/2019,Port Wells,3,4,0,ADFG WEB,10/2/2019,2019,,4,
117604,3962,0,0,8/4/2019,Pigot Bay,3,13,1,ADFG WEB,9/30/2019,2019,,4,
117605,398,1,0,8/4/2019,St. Matthews Bay,1,16,0,ADFG WEB,8/19/2019,2019,,4,
117606,4006,0,0,8/4/2019,Day care bay/ Perry island,3,8,0.5,ADFG WEB,9/17/2019,2019,,4,
117607,4013,0,0,8/4/2019,Port juan,3,12,1.5,ADFG WEB,8/7/2019,2019,,4,
117608,4015,0,0,8/4/2019,Black stone Bay Area,2,24,1,ADFG WEB,10/1/2019,2019,,4,
117609,531,0,0,8/4/2019,Main Bay,3,24,3,ADFG WEB,10/13/2019,2019,,4,
117610,737,0,0,8/4/2019,blackston bay,3,144,2,ADFG WEB,8/30/2019,2019,,4,
117611,896,0,0,8/4/2019,Knight Island (south Long Channel),3,12,1,ADFG WEB,10/14/2019,2019,,4,
117612,981,0,0,8/4/2019,Port Nellie Juan,2,13,0.5,ADFG WEB,9/4/2019,2019,,4,
